"Week","Goal","Mon","Tue","Wed","Thu","Fri","Sat","Sun"
"1","GVT Phase: Muscle endurance","GVT Upper (Bench, Rows)","LISS (45min)","GVT Legs (Leg Press)","HIIT (20min)","GVT Back (Deadlifts)","Active Recovery","Rest"
"2","GVT Phase: Metabolic stress","GVT Chest/Back","LISS (45min)","GVT Legs (Split Squats)","HIIT (20min)","GVT Shoulders/Arms","Active Recovery","Rest"
"3","GVT Phase: Final push","GVT Upper (Incline Press)","LISS (45min)","GVT Legs (Hip Thrusts)","HIIT (20min)","GVT Back (Pull-Ups)","Active Recovery","Rest"
"4","Deload: Recovery","Light Full-Body (3x10)","Yoga/Stretch","Light Cardio (30min)","Light Full-Body","Walk (30min)","Mobility Work","Rest"
"5","Strength Phase: Heavy lifts","Upper Strength","LISS (45min)","Lower Strength","HIIT (20min)","Upper Hypertrophy","Active Recovery","Rest"
"6","Hypertrophy Phase: Muscle growth","Chest/Triceps","LISS (45min)","Legs Hypertrophy","HIIT (20min)","Back/Biceps","Active Recovery","Rest"
"7","Strength Phase: Progressive load","Upper Strength","LISS (45min)","Lower Strength","HIIT (20min)","Upper Hypertrophy","Active Recovery","Rest"
"8","Deload: Reset CNS","Light Full-Body (3x10)","Yoga/Stretch","Light Cardio (30min)","Light Full-Body","Walk (30min)","Mobility Work","Rest"
"9","GVT Phase: Modified volume","GVT Upper (Machine Press)","LISS (45min)","GVT Legs (Belt Squats)","HIIT (20min)","GVT Back (Cable Rows)","Active Recovery","Rest"
"10","GVT Phase: Joint-friendly","GVT Chest/Back","LISS (45min)","GVT Legs (Lunges)","HIIT (20min)","GVT Shoulders/Arms","Active Recovery","Rest"
"11","GVT Phase: Density focus","GVT Upper (DB Press)","LISS (45min)","GVT Legs (Step-Ups)","HIIT (20min)","GVT Back (Lat Pulldowns)","Active Recovery","Rest"
"12","Deload: Active recovery","Light Full-Body (3x10)","Yoga/Stretch","Light Cardio (30min)","Light Full-Body","Walk (30min)","Mobility Work","Rest"
"13","Hypertrophy Phase: Lean muscle","Chest/Back Hypertrophy","LISS (45min)","Legs Hypertrophy","HIIT (20min)","Shoulders/Arms","Active Recovery","Rest"
"14","Metabolic Conditioning: Fat loss","Circuit Training*","LISS (45min)","Circuit Training","HIIT (20min)","Circuit Training","Active Recovery","Rest"
"15","Strength Phase: Maintain muscle","Upper Strength","LISS (45min)","Lower Strength","HIIT (20min)","Upper Hypertrophy","Active Recovery","Rest"
"16","Deload & Transition","Light Full-Body (3x10)","Yoga/Stretch","Light Cardio (30min)","Light Full-Body","Walk (30min)","Mobility Work","Rest"